,provinsi,tahun,jenis,jumlah RTP
295,PAPUA,2019,Budidaya,9891
296,PAPUA BARAT,2019,Budidaya,1901
297,RIAU,2019,Budidaya,31084
298,SULAWESI BARAT,2019,Budidaya,22457
299,SULAWESI SELATAN,2019,Budidaya,111244
300,SULAWESI TENGAH,2019,Budidaya,25675
301,SULAWESI TENGGARA,2019,Budidaya,17096
302,SULAWESI UTARA,2019,Budidaya,15249
303,SUMATERA BARAT,2019,Budidaya,78330
304,SUMATERA SELATAN,2019,Budidaya,63557
305,SUMATERA UTARA,2019,Budidaya,43342
306,ACEH,2020,Budidaya,48458
307,BALI,2020,Budidaya,10617
308,BANTEN,2020,Budidaya,20867
309,BENGKULU,2020,Budidaya,15371
310,DAERAH ISTIMEWA YOGYAKARTA,2020,Budidaya,62781
311,DKI JAKARTA,2020,Budidaya,1306
312,GORONTALO,2020,Budidaya,6276
313,JAMBI,2020,Budidaya,16285
314,JAWA BARAT,2020,Budidaya,346821
315,JAWA TENGAH,2020,Budidaya,216911
316,JAWA TIMUR,2020,Budidaya,137102
317,KALIMANTAN BARAT,2020,Budidaya,31987
318,KALIMANTAN SELATAN,2020,Budidaya,21102
319,KALIMANTAN TENGAH,2020,Budidaya,30330
320,KALIMANTAN TIMUR,2020,Budidaya,34778
321,KALIMANTAN UTARA,2020,Budidaya,11158
322,KEPULAUAN BANGKA BELITUNG,2020,Budidaya,2881
323,KEPULAUAN RIAU,2020,Budidaya,4928
324,LAMPUNG,2020,Budidaya,57839
325,MALUKU,2020,Budidaya,7421
326,MALUKU UTARA,2020,Budidaya,3433
327,NUSA TENGGARA BARAT,2020,Budidaya,31506
328,NUSA TENGGARA TIMUR,2020,Budidaya,37378
329,PAPUA,2020,Budidaya,9966
330,PAPUA BARAT,2020,Budidaya,2107
331,RIAU,2020,Budidaya,26310
332,SULAWESI BARAT,2020,Budidaya,18902
333,SULAWESI SELATAN,2020,Budidaya,109245
334,SULAWESI TENGAH,2020,Budidaya,24044
335,SULAWESI TENGGARA,2020,Budidaya,17717
336,SULAWESI UTARA,2020,Budidaya,14653
337,SUMATERA BARAT,2020,Budidaya,83666
338,SUMATERA SELATAN,2020,Budidaya,62539
339,SUMATERA UTARA,2020,Budidaya,40214
340,ACEH,2011,Laut,17151
341,BALI,2011,Laut,15954
342,BANTEN,2011,Laut,5851
343,BENGKULU,2011,Laut,8185
344,DAERAH ISTIMEWA YOGYAKARTA,2011,Laut,1128
345,DKI JAKARTA,2011,Laut,3322
346,GORONTALO,2011,Laut,7779
347,JAMBI,2011,Laut,2629
348,JAWA BARAT,2011,Laut,19610
349,JAWA TENGAH,2011,Laut,21971
350,JAWA TIMUR,2011,Laut,59654
351,KALIMANTAN BARAT,2011,Laut,12017
352,KALIMANTAN SELATAN,2011,Laut,9260
353,KALIMANTAN TENGAH,2011,Laut,6407
354,KALIMANTAN TIMUR,2011,Laut,27704
355,KALIMANTAN UTARA,2011,Laut,0
356,KEPULAUAN BANGKA BELITUNG,2011,Laut,17526
357,KEPULAUAN RIAU,2011,Laut,25667
358,LAMPUNG,2011,Laut,7673
359,MALUKU,2011,Laut,44542
360,MALUKU UTARA,2011,Laut,2905
361,NUSA TENGGARA BARAT,2011,Laut,20559
362,NUSA TENGGARA TIMUR,2011,Laut,15441
363,PAPUA,2011,Laut,32208
364,PAPUA BARAT,2011,Laut,13451
365,RIAU,2011,Laut,13933
366,SULAWESI BARAT,2011,Laut,14178
367,SULAWESI SELATAN,2011,Laut,32717
368,SULAWESI TENGAH,2011,Laut,40922
369,SULAWESI TENGGARA,2011,Laut,26054
370,SULAWESI UTARA,2011,Laut,18824
371,SUMATERA BARAT,2011,Laut,9574
372,SUMATERA SELATAN,2011,Laut,7073
373,SUMATERA UTARA,2011,Laut,33331
374,ACEH,2012,Laut,17149
375,BALI,2012,Laut,15058
376,BANTEN,2012,Laut,6100
377,BENGKULU,2012,Laut,8182
378,DAERAH ISTIMEWA YOGYAKARTA,2012,Laut,1529
379,DKI JAKARTA,2012,Laut,2442
380,GORONTALO,2012,Laut,7790
381,JAMBI,2012,Laut,2721
382,JAWA BARAT,2012,Laut,20104
383,JAWA TENGAH,2012,Laut,19972
384,JAWA TIMUR,2012,Laut,67536
385,KALIMANTAN BARAT,2012,Laut,11325
386,KALIMANTAN SELATAN,2012,Laut,9167
387,KALIMANTAN TENGAH,2012,Laut,6155
388,KALIMANTAN TIMUR,2012,Laut,26840
389,KALIMANTAN UTARA,2012,Laut,0
390,KEPULAUAN BANGKA BELITUNG,2012,Laut,17468
391,KEPULAUAN RIAU,2012,Laut,28398
392,LAMPUNG,2012,Laut,7455
393,MALUKU,2012,Laut,54139
394,MALUKU UTARA,2012,Laut,2891
395,NUSA TENGGARA BARAT,2012,Laut,20526
396,NUSA TENGGARA TIMUR,2012,Laut,17049
397,PAPUA,2012,Laut,30976
398,PAPUA BARAT,2012,Laut,13549
399,RIAU,2012,Laut,14809
400,SULAWESI BARAT,2012,Laut,12657
401,SULAWESI SELATAN,2012,Laut,33859
402,SULAWESI TENGAH,2012,Laut,52372
403,SULAWESI TENGGARA,2012,Laut,26799
404,SULAWESI UTARA,2012,Laut,16026
405,SUMATERA BARAT,2012,Laut,9962
406,SUMATERA SELATAN,2012,Laut,7342
407,SUMATERA UTARA,2012,Laut,39069
408,ACEH,2013,Laut,17667
409,BALI,2013,Laut,15429
410,BANTEN,2013,Laut,6034
411,BENGKULU,2013,Laut,8278
412,DAERAH ISTIMEWA YOGYAKARTA,2013,Laut,1615
413,DKI JAKARTA,2013,Laut,3238
414,GORONTALO,2013,Laut,7922
415,JAMBI,2013,Laut,1925
416,JAWA BARAT,2013,Laut,20754
417,JAWA TENGAH,2013,Laut,19919
418,JAWA TIMUR,2013,Laut,62485
419,KALIMANTAN BARAT,2013,Laut,13535
420,KALIMANTAN SELATAN,2013,Laut,9164
421,KALIMANTAN TENGAH,2013,Laut,5330
422,KALIMANTAN TIMUR,2013,Laut,27806
423,KALIMANTAN UTARA,2013,Laut,0
424,KEPULAUAN BANGKA BELITUNG,2013,Laut,17786
425,KEPULAUAN RIAU,2013,Laut,30230
426,LAMPUNG,2013,Laut,7606
427,MALUKU,2013,Laut,49842
428,MALUKU UTARA,2013,Laut,2992
429,NUSA TENGGARA BARAT,2013,Laut,24624
430,NUSA TENGGARA TIMUR,2013,Laut,25011
431,PAPUA,2013,Laut,31992
432,PAPUA BARAT,2013,Laut,13649
433,RIAU,2013,Laut,14901
434,SULAWESI BARAT,2013,Laut,11803
435,SULAWESI SELATAN,2013,Laut,35711
436,SULAWESI TENGAH,2013,Laut,57511
437,SULAWESI TENGGARA,2013,Laut,26019
438,SULAWESI UTARA,2013,Laut,39270
439,SUMATERA BARAT,2013,Laut,11141
440,SUMATERA SELATAN,2013,Laut,7355
441,SUMATERA UTARA,2013,Laut,43081
442,ACEH,2014,Laut,17758
443,BALI,2014,Laut,15654
444,BANTEN,2014,Laut,6058
445,BENGKULU,2014,Laut,7487
446,DAERAH ISTIMEWA YOGYAKARTA,2014,Laut,1754
447,DKI JAKARTA,2014,Laut,3290
448,GORONTALO,2014,Laut,7985
449,JAMBI,2014,Laut,2680
450,JAWA BARAT,2014,Laut,18231
451,JAWA TENGAH,2014,Laut,22545
452,JAWA TIMUR,2014,Laut,59513
453,KALIMANTAN BARAT,2014,Laut,13890
454,KALIMANTAN SELATAN,2014,Laut,9166
455,KALIMANTAN TENGAH,2014,Laut,6439
456,KALIMANTAN TIMUR,2014,Laut,28176
457,KALIMANTAN UTARA,2014,Laut,0
458,KEPULAUAN BANGKA BELITUNG,2014,Laut,17304
459,KEPULAUAN RIAU,2014,Laut,30017
460,LAMPUNG,2014,Laut,7757
461,MALUKU,2014,Laut,51947
462,MALUKU UTARA,2014,Laut,3077
463,NUSA TENGGARA BARAT,2014,Laut,24791
464,NUSA TENGGARA TIMUR,2014,Laut,27135
465,PAPUA,2014,Laut,23209
466,PAPUA BARAT,2014,Laut,13646
